"priority","code","supplierCode","manufacturer","description","currentUrl","width","height","issues","officialSite","searchQuery","searchUrl"
"170","CXS-20L","XS-20L","Canon","Canon Selphy Color Ink/label XS-20L Set","","","","no_image;unknown_dimensions","canon.com.au","site:canon.com.au Canon CXS-20L XS-20L product image","https://www.google.com/search?tbm=isch&q=site%3Acanon.com.au%20Canon%20CXS-20L%20XS-20L%20product%20image"
"170","PMDT3M","000-AU1169-0A","Compatibles","Cleanstation DT3M","","","","no_image;unknown_dimensions","","Compatibles PMDT3M 000-AU1169-0A product image","https://www.google.com/search?tbm=isch&q=Compatibles%20PMDT3M%20000-AU1169-0A%20product%20image"
"170","ES-MT125XWH3","MT125XWH3-E12","Elite Screens","125"" 16:9 Manual Tab Tension 3 Cinewhite Pull Down Screen","","","","no_image;unknown_dimensions","","Elite Screens ES-MT125XWH3 MT125XWH3-E12 product image","https://www.google.com/search?tbm=isch&q=Elite%20Screens%20ES-MT125XWH3%20MT125XWH3-E12%20product%20image"
"170","EP3YWLX350","3YWLX350","Epson","Additional 2 Years Return to Base Warranty for LX-350","","","","no_image;unknown_dimensions","epson.com.au","site:epson.com.au Epson EP3YWLX350 3YWLX350 product image","https://www.google.com/search?tbm=isch&q=site%3Aepson.com.au%20Epson%20EP3YWLX350%203YWLX350%20product%20image"
"170","EPC13S041845","C13S041845","Epson","Canvas Sw Prem Satin 13IN X 6M","","","","no_image;unknown_dimensions","epson.com.au","site:epson.com.au Epson EPC13S041845 C13S041845 product image","https://www.google.com/search?tbm=isch&q=site%3Aepson.com.au%20Epson%20EPC13S041845%20C13S041845%20product%20image"
"170","EPC13S042300","C13S042300","Epson","Epson C13S042300 Fine Art Paper Signatureworthy Cold Press Natural 340G/M A3+","","","","no_image;unknown_dimensions","epson.com.au","site:epson.com.au Epson EPC13S042300 C13S042300 product image","https://www.google.com/search?tbm=isch&q=site%3Aepson.com.au%20Epson%20EPC13S042300%20C13S042300%20product%20image"
"170","EPC13S042308","C13S042308","Epson","Fine Art Cold Press Bright Paper A4 340GSM Matt","","","","no_image;unknown_dimensions","epson.com.au","site:epson.com.au Epson EPC13S042308 C13S042308 product image","https://www.google.com/search?tbm=isch&q=site%3Aepson.com.au%20Epson%20EPC13S042308%20C13S042308%20product%20image"
"170","EPC13S042320","C13S042320","Epson","Epson C13S042320 Fine Art Paper Signatureworthy Hot Press Natural 330G/M2 A3+","","","","no_image;unknown_dimensions","epson.com.au","site:epson.com.au Epson EPC13S042320 C13S042320 product image","https://www.google.com/search?tbm=isch&q=site%3Aepson.com.au%20Epson%20EPC13S042320%20C13S042320%20product%20image"
"170","EPC13T47A100","C13T47A100","Epson","Epson Ultrachrome PRO10 - Photo Black Ink Cartridge for P906","","","","no_image;unknown_dimensions","epson.com.au","site:epson.com.au Epson EPC13T47A100 C13T47A100 product image","https://www.google.com/search?tbm=isch&q=site%3Aepson.com.au%20Epson%20EPC13T47A100%20C13T47A100%20product%20image"
"170","EPYR2ET2950","YR2ET2950","Epson","1 Yr. Epson Coverplus Return to Base ET-2950","","","","no_image;unknown_dimensions","epson.com.au","site:epson.com.au Epson EPYR2ET2950 YR2ET2950 product image","https://www.google.com/search?tbm=isch&q=site%3Aepson.com.au%20Epson%20EPYR2ET2950%20YR2ET2950%20product%20image"
"170","EPYR2ET4950","YR2ET4950","Epson","1 Yr. Epson Coverplus Return to Base ET-4950","","","","no_image;unknown_dimensions","epson.com.au","site:epson.com.au Epson EPYR2ET4950 YR2ET4950 product image","https://www.google.com/search?tbm=isch&q=site%3Aepson.com.au%20Epson%20EPYR2ET4950%20YR2ET4950%20product%20image"
"170","FLRS-F2-GPGR-41","RS-F2-GPGR-41","Formlabs","Grey Resin V4.1 (Form 3) 1L","","","","no_image;unknown_dimensions","","Formlabs FLRS-F2-GPGR-41 RS-F2-GPGR-41 product image","https://www.google.com/search?tbm=isch&q=Formlabs%20FLRS-F2-GPGR-41%20RS-F2-GPGR-41%20product%20image"
"170","FFCT203524","CT203524","Fujifilm","Black High Yield Regular Toner Cart for AP4020SD APP4020 20K Yield","","","","no_image;unknown_dimensions","fujifilm.com","site:fujifilm.com Fujifilm FFCT203524 CT203524 product image","https://www.google.com/search?tbm=isch&q=site%3Afujifilm.com%20Fujifilm%20FFCT203524%20CT203524%20product%20image"
"170","FFCT204293","CT204293","Fujifilm","CT204293 Black Toner 12K for DPM375Z DPP375DW DPM385Z DPP385DW (Replaces CT203109)","","","","no_image;unknown_dimensions","fujifilm.com","site:fujifilm.com Fujifilm FFCT204293 CT204293 product image","https://www.google.com/search?tbm=isch&q=site%3Afujifilm.com%20Fujifilm%20FFCT204293%20CT204293%20product%20image"
"170","FFCT351368","CT351368","Fujifilm","CT351368 Cmyk Drum Cartridge 70K Yield for AC5570SFP","","","","no_image;unknown_dimensions","fujifilm.com","site:fujifilm.com Fujifilm FFCT351368 CT351368 product image","https://www.google.com/search?tbm=isch&q=site%3Afujifilm.com%20Fujifilm%20FFCT351368%20CT351368%20product%20image"
"170","FFCT351398","CT351398","Fujifilm","CT351398 Black Drum (K) for AC3530 AC4030 APC4030 60K Yield","","","","no_image;unknown_dimensions","fujifilm.com","site:fujifilm.com Fujifilm FFCT351398 CT351398 product image","https://www.google.com/search?tbm=isch&q=site%3Afujifilm.com%20Fujifilm%20FFCT351398%20CT351398%20product%20image"
"170","FFCWAA1010","CWAA1010","Fujifilm","Fujifilm Waste Toner Box 30K for AC5240/AC5240EX/APC5240","","","","no_image;unknown_dimensions","fujifilm.com","site:fujifilm.com Fujifilm FFCWAA1010 CWAA1010 product image","https://www.google.com/search?tbm=isch&q=site%3Afujifilm.com%20Fujifilm%20FFCWAA1010%20CWAA1010%20product%20image"
"170","FFCWAA1051","CWAA1051","Fujifilm","CWAA1051 Waste Toner Container 55K Yield for AC5570SFP","","","","no_image;unknown_dimensions","fujifilm.com","site:fujifilm.com Fujifilm FFCWAA1051 CWAA1051 product image","https://www.google.com/search?tbm=isch&q=site%3Afujifilm.com%20Fujifilm%20FFCWAA1051%20CWAA1051%20product%20image"
"170","FFCWAA1064","CWAA1064","Fujifilm","CWAA1064 Fuser Unit (220V) for AC3530 AC4030 APC4030 100K Yield","","","","no_image;unknown_dimensions","fujifilm.com","site:fujifilm.com Fujifilm FFCWAA1064 CWAA1064 product image","https://www.google.com/search?tbm=isch&q=site%3Afujifilm.com%20Fujifilm%20FFCWAA1064%20CWAA1064%20product%20image"
"170","FFEC104854","EC104854","Fujifilm","Fujifilm EC104854 Fax Kit for C2450S","","","","no_image;unknown_dimensions","fujifilm.com","site:fujifilm.com Fujifilm FFEC104854 EC104854 product image","https://www.google.com/search?tbm=isch&q=site%3Afujifilm.com%20Fujifilm%20FFEC104854%20EC104854%20product%20image"
"170","FXCT203070","CT203070","Fujifilm","Fuji Xerox CT203070 High Yield Toner 30K for DPP505D","","","","no_image;unknown_dimensions","fujifilm.com","site:fujifilm.com Fujifilm FXCT203070 CT203070 product image","https://www.google.com/search?tbm=isch&q=site%3Afujifilm.com%20Fujifilm%20FXCT203070%20CT203070%20product%20image"
"170","FXCT203095","CT203095","Fujifilm","Fuji Xerox CT203095 High Cap Black Toner 15K for DP4405D DP3505D","","","","no_image;unknown_dimensions","fujifilm.com","site:fujifilm.com Fujifilm FXCT203095 CT203095 product image","https://www.google.com/search?tbm=isch&q=site%3Afujifilm.com%20Fujifilm%20FXCT203095%20CT203095%20product%20image"
"170","FXCT203346","CT203346","Fujifilm","Fuji Xerox CT203346 High Yield Black Toner 15K for DPCP475 AP7C3321 AP7C4421","","","","no_image;unknown_dimensions","fujifilm.com","site:fujifilm.com Fujifilm FXCT203346 CT203346 product image","https://www.google.com/search?tbm=isch&q=site%3Afujifilm.com%20Fujifilm%20FXCT203346%20CT203346%20product%20image"
"170","FXCT203348","CT203348","Fujifilm","Fuji Xerox CT203348 High Yield Magenta Toner 11K for DPCP475 AP7C3321 AP7C4421","","","","no_image;unknown_dimensions","fujifilm.com","site:fujifilm.com Fujifilm FXCT203348 CT203348 product image","https://www.google.com/search?tbm=isch&q=site%3Afujifilm.com%20Fujifilm%20FXCT203348%20CT203348%20product%20image"
"170","FXCT203402","CT203402","Fujifilm","Fujifilm CT203402 Black Toner for APPC5570 26K Pages","","","","no_image;unknown_dimensions","fujifilm.com","site:fujifilm.com Fujifilm FXCT203402 CT203402 product image","https://www.google.com/search?tbm=isch&q=site%3Afujifilm.com%20Fujifilm%20FXCT203402%20CT203402%20product%20image"
"170","FXCT203403","CT203403","Fujifilm","Fujifilm CT203403 Cyan Toner for APPC5570 25K Pages","","","","no_image;unknown_dimensions","fujifilm.com","site:fujifilm.com Fujifilm FXCT203403 CT203403 product image","https://www.google.com/search?tbm=isch&q=site%3Afujifilm.com%20Fujifilm%20FXCT203403%20CT203403%20product%20image"
"170","FXCT203404","CT203404","Fujifilm","Fujifilm CT203404 Magenta Toner for APPC5570 25K Pages","","","","no_image;unknown_dimensions","fujifilm.com","site:fujifilm.com Fujifilm FXCT203404 CT203404 product image","https://www.google.com/search?tbm=isch&q=site%3Afujifilm.com%20Fujifilm%20FXCT203404%20CT203404%20product%20image"
"170","FXCT203405","CT203405","Fujifilm","Fujifilm CT203405 Yellow Toner for APPC5570 25K Pages","","","","no_image;unknown_dimensions","fujifilm.com","site:fujifilm.com Fujifilm FXCT203405 CT203405 product image","https://www.google.com/search?tbm=isch&q=site%3Afujifilm.com%20Fujifilm%20FXCT203405%20CT203405%20product%20image"
"170","FXCT351168","CT351168","Fujifilm","Fuji Xerox CT351168 Drum Cartridge 60K for DP4505D DP3505D","","","","no_image;unknown_dimensions","fujifilm.com","site:fujifilm.com Fujifilm FXCT351168 CT351168 product image","https://www.google.com/search?tbm=isch&q=site%3Afujifilm.com%20Fujifilm%20FXCT351168%20CT351168%20product%20image"
"170","FXCT351192","CT351192","Fujifilm","Fuji Xerox CT351192 Black Drum Cartridge 55K for DPCP505D (CT351145)","","","","no_image;unknown_dimensions","fujifilm.com","site:fujifilm.com Fujifilm FXCT351192 CT351192 product image","https://www.google.com/search?tbm=isch&q=site%3Afujifilm.com%20Fujifilm%20FXCT351192%20CT351192%20product%20image"
"170","FXCT351193","CT351193","Fujifilm","Fuji Xerox CT351193 Cyan Drum Cartridge 55K for DPCP505D (CT351146)","","","","no_image;unknown_dimensions","fujifilm.com","site:fujifilm.com Fujifilm FXCT351193 CT351193 product image","https://www.google.com/search?tbm=isch&q=site%3Afujifilm.com%20Fujifilm%20FXCT351193%20CT351193%20product%20image"
