code,manufacturer,description,imageCount,primaryImage
AK-S563-GREY,Akuvox,"8"" SIP Indoor Monitor in Grey (Android 12 Version)",3,https://www.alloys.com.au/Images/ProductImages/Original/2023070318322048.png
AK-S563W-GREY,Akuvox,"8"" SIP Indoor Monitor with WI-FI in Grey (Android 12 Version)",3,https://www.alloys.com.au/Images/ProductImages/Original/2023070318322048.png
AK-S565-GREY,Akuvox,"10.1"" SIP Indoor Unit in Grey (Linux Version)",3,https://www.alloys.com.au/Images/ProductImages/Original/0e9dc3bfb58e036e82983230645b3dda.png
AK-S567-GREY,Akuvox,"10.1"" SIP Indoor Unit in Grey (Android 12 Version)",4,https://www.alloys.com.au/Images/ProductImages/Original/2023011212130963
AK-SPR15P,Akuvox,Big Button Phone,3,https://www.alloys.com.au/Images/ProductImages/Original/2021062917404062.png
AK-SR01,Akuvox,Compact Security Single Door I/o Module,3,https://www.alloys.com.au/Images/ProductImages/Original/Akuvox-SR01_compressed.jpg
AK-VP-R49G,Akuvox,Premium Android IP Video Phone Support POE & Gigabit Port,5,https://www.alloys.com.au/Images/ProductImages/Original/Akuvox
AK-X910,Akuvox,Aluminum SIP Video Door Bell with Relay,2,https://www.alloys.com.au/Images/ProductImages/Original/X910_.png
AK-X912S,Akuvox,Vandal Resistant SIP Video Door Phone,3,https://www.alloys.com.au/Images/ProductImages/Original/X912S.png
AK-X915S,Akuvox,SIP Android Door Phone with Facial Recognition,2,https://www.alloys.com.au/Images/ProductImages/Original/2020123119053400.png
AK-X937A,Akuvox,"15.6"" Android Indoor SIP Monitor with WI-FI and Camera Hdmi Input",3,https://www.alloys.com.au/Images/ProductImages/Original/X937A_f.png
AK-ZBMD-C1-R1,Akubela,Akubela Zigbee Controller 16A for Boiler,4,https://www.alloys.com.au/Images/ProductImages/Original/AK-ZBMD-C1-R1-F_2.png
AK-ZBMD-C1-R2,Akubela,Akubela Zigbee Controller 10A Standard,4,https://www.alloys.com.au/Images/ProductImages/Original/AK-ZBMD-C1-R2-F.png
TN-4G07V2.0,Tenda,Tenda 4G07 AC1200 DUAL-BAND WI-FI 4G LTE Router,3,https://www.alloys.com.au/Images/ProductImages/Original/4G07v2-1a.png
